"category_id","name","url","parent","weight","count","created_on"
58,"Dụng cụ nhà bếp","https://tiki.vn/nha-bep/c1951?src=tree",7,"0.2",18932,"2019-07-29 22:50:04.064379"
59,"Đồ dùng phòng ăn","https://tiki.vn/phong-an/c1954?src=tree",7,"0.2",6470,"2019-07-29 22:50:04.084922"
60,"Đồ dùng phòng ngủ","https://tiki.vn/do-dung-phong-ngu/c8313?src=tree",7,"0.2",17254,"2019-07-29 22:50:04.103992"
61,"Nội thất","https://tiki.vn/noi-that/c2150?src=tree",7,"0.2",10752,"2019-07-29 22:50:04.126323"
62,"Trang trí nhà cửa","https://tiki.vn/trang-tri-nha-cua/c1973?src=tree",7,"0.2",61228,"2019-07-29 22:50:04.146605"
63,"Đèn & thiết bị chiếu sáng","https://tiki.vn/den-thiet-bi-chieu-sang/c2015?src=tree",7,"0.2",8154,"2019-07-29 22:50:04.166179"
64,"Ngoài trời & sân vườn","https://tiki.vn/ngoai-troi-san-vuon/c2223?src=tree",7,"0.2",6538,"2019-07-29 22:50:04.187374"
65,"Đồ dùng và thiết bị nhà tắm","https://tiki.vn/do-dung-va-thiet-bi-nha-tam/c1966?src=tree",7,"0.2",7892,"2019-07-29 22:50:04.251601"
66,"Sửa chữa nhà cửa","https://tiki.vn/sua-chua-nha-cua/c1974?src=tree",7,"0.2",11668,"2019-07-29 22:50:04.270692"
67,"Nhạc cụ","https://tiki.vn/nhac-cu/c10068?src=tree",7,"0.2",1630,"2019-07-29 22:50:04.291559"
68,"Hoa tươi và cây cảnh","https://tiki.vn/hoa-tuoi-va-cay-canh/c18852?src=tree",7,"0.2",916,"2019-07-29 22:50:04.3122"
69,"Thiết bị điều khiển thông minh","https://tiki.vn/thiet-bi-dieu-khien-thong-minh/c20492?src=tree",7,"0.2",231,"2019-07-29 22:50:04.331788"
70,"Dụng cụ diệt chuột, côn trùng","https://tiki.vn/dung-cu-diet-chuot-con-trung/c23004?src=tree",7,"0.2",393,"2019-07-29 22:50:04.35226"
71,"Pin và dụng cụ sạc pin","https://tiki.vn/pin-va-dung-cu-sac-pin/c23012?src=tree",7,"0.2",258,"2019-07-29 22:50:04.381068"
72,"Ổ cắm điện","https://tiki.vn/o-cam-dien/c2021?src=tree",7,"0.2",1107,"2019-07-29 22:50:04.401496"
73,"Dụng cụ vệ sinh","https://tiki.vn/dung-cu-ve-sinh/c23018?src=tree",7,"0.2",870,"2019-07-29 22:50:04.421534"
74,"Phụ kiện giặt ủi","https://tiki.vn/phu-kien-giat-ui/c23044?src=tree",7,"0.2",372,"2019-07-29 22:50:04.440718"
75,"Bảo vệ nhà cửa","https://tiki.vn/bao-ve-nha-cua/c23046?src=tree",7,"0.2",946,"2019-07-29 22:50:04.459698"
76,"Đồ thờ cúng","https://tiki.vn/do-tho-cung/c23054?src=tree",7,"0.2",1416,"2019-07-29 22:50:04.480011"
77,"Vật phẩm phong thủy","https://tiki.vn/vat-pham-phong-thuy/c5848?src=tree",7,"0.2",2822,"2019-07-29 22:50:04.501562"
78,"Ổn áp, biến áp","https://tiki.vn/on-ap-bien-ap/c11854?src=tree",7,"0.2",318,"2019-07-29 22:50:04.521117"
79,"Chăm sóc nhà cửa","https://tiki.vn/cham-soc-nha-cua/c15078?src=tree",8,"0.2",2756,"2019-07-29 22:50:04.979231"
80,"Bánh kẹo","https://tiki.vn/banh-keo/c4421?src=tree",8,"0.2",2065,"2019-07-29 22:50:04.999406"
81,"Thực phẩm","https://tiki.vn/thuc-pham/c15074?src=tree",8,"0.2",3942,"2019-07-29 22:50:05.01851"
82,"Đồ uống - Giải khát","https://tiki.vn/do-uong-giai-khat/c24024?src=tree",8,"0.2",1269,"2019-07-29 22:50:05.038375"
83,"Gia vị","https://tiki.vn/gia-vi/c4422?src=tree",8,"0.2",1647,"2019-07-29 22:50:05.057207"
84,"Chăm sóc thú cưng","https://tiki.vn/thu-cung/c5451?src=tree",8,"0.2",4810,"2019-07-29 22:50:05.076368"
85,"Bộ quà tặng","https://tiki.vn/bo-qua-tang/c11347?src=tree",8,"0.2",101,"2019-07-29 22:50:05.096603"
86,"Đồ uống - Pha chế","https://tiki.vn/do-uong-pha-che/c22998?src=tree",8,"0.2",2548,"2019-07-29 22:50:05.116565"
87,"Thực phẩm chay","https://tiki.vn/thuc-pham-chay/c5479?src=tree",8,"0.2",64,"2019-07-29 22:50:05.136993"
88,"Thực phẩm bổ dưỡng","https://tiki.vn/thuc-pham-bo-duong/c8240?src=tree",8,"0.2",540,"2019-07-29 22:50:05.157867"
89,"Thực phẩm bảo vệ sức khỏe","https://tiki.vn/thuc-pham-bao-ve-suc-khoe/c11251?src=tree",8,"0.2",200,"2019-07-29 22:50:05.17744"
90,"Thực phẩm cao cấp","https://tiki.vn/thuc-pham-cao-cap/c11346?src=tree",8,"0.2",128,"2019-07-29 22:50:05.242112"
91,"Thực phẩm hữu cơ","https://tiki.vn/thuc-pham-huu-co/c11660?src=tree",8,"0.2",136,"2019-07-29 22:50:05.262036"
92,"Tã, Bỉm","https://tiki.vn/ta-bim-cho-be/c2551?src=tree",9,"0.2",1163,"2019-07-29 22:50:05.840936"
93,"Dinh dưỡng cho bé","https://tiki.vn/dinh-duong-cho-be/c8339?src=tree",9,"0.2",881,"2019-07-29 22:50:05.861135"
94,"Dinh dưỡng cho mẹ","https://tiki.vn/dinh-duong-cho-me/c10416?src=tree",9,"0.2",63,"2019-07-29 22:50:05.88128"
95,"Dinh dưỡng cho người lớn","https://tiki.vn/dinh-duong-cho-nguoi-lon/c10418?src=tree",9,"0.2",83,"2019-07-29 22:50:05.901331"
96,"Đồ dùng cho bé","https://tiki.vn/do-dung-cho-be/c11601?src=tree",9,"0.2",7369,"2019-07-29 22:50:05.920766"
97,"Thời Trang Cho Mẹ Và Bé","https://tiki.vn/thoi-trang-cho-me-va-be/c11603?src=tree",9,"0.2",18390,"2019-07-29 22:50:05.943723"
98,"Đồ chơi","https://tiki.vn/do-choi/c5250?src=tree",9,"0.2",10428,"2019-07-29 22:50:05.965605"
99,"Chăm sóc mẹ mang thai, sau sinh","https://tiki.vn/cham-soc-me-mang-thai-sau-sinh/c2640?src=tree",9,"0.2",1609,"2019-07-29 22:50:05.984984"
100,"Chuẩn bị mang thai","https://tiki.vn/chuan-bi-mang-thai/c10570?src=tree",9,"0.2",18,"2019-07-29 22:50:06.00482"
101,"Trang điểm","https://tiki.vn/trang-diem/c1584?src=tree",10,"0.2",5399,"2019-07-29 22:50:06.65248"
102,"Chăm sóc da mặt","https://tiki.vn/cham-soc-da-mat/c1582?src=tree",10,"0.2",11092,"2019-07-29 22:50:06.673272"
103,"Chăm sóc cơ thể","https://tiki.vn/cham-soc-co-the/c1592?src=tree",10,"0.2",4161,"2019-07-29 22:50:06.692536"
104,"Dược mỹ phẩm","https://tiki.vn/duoc-my-pham/c5874?src=tree",10,"0.2",866,"2019-07-29 22:50:06.712807"
105,"Sản phẩm thiên nhiên","https://tiki.vn/san-pham-thien-nhien-handmade/c5873?src=tree",10,"0.2",1761,"2019-07-29 22:50:06.732019"
106,"Chăm sóc tóc và da đầu","https://tiki.vn/cham-soc-toc-da-dau/c1591?src=tree",10,"0.2",3065,"2019-07-29 22:50:06.751051"
107,"Chăm sóc cá nhân","https://tiki.vn/cham-soc-ca-nhan/c1594?src=tree",10,"0.2",2866,"2019-07-29 22:50:06.769822"
108,"Thực phẩm chức năng","https://tiki.vn/thuc-pham-chuc-nang/c2322?src=tree",10,"0.2",3487,"2019-07-29 22:50:06.788773"
109,"Thiết bị chăm sóc sức khỏe","https://tiki.vn/thiet-bi-cham-soc-suc-khoe/c2307?src=tree",10,"0.2",1981,"2019-07-29 22:50:06.808532"
110,"Hỗ trợ tình dục","https://tiki.vn/ho-tro-tinh-duc/c8142?src=tree",10,"0.2",1095,"2019-07-29 22:50:06.828411"
111,"Thiết bị làm đẹp","https://tiki.vn/thiet-bi-lam-dep/c2306?src=tree",10,"0.2",652,"2019-07-29 22:50:06.84838"
112,"Bộ sản phẩm làm đẹp","https://tiki.vn/bo-san-pham-lam-dep/c8161?src=tree",10,"0.2",316,"2019-07-29 22:50:06.867016"
10,"Làm Đẹp - Sức Khỏe","https://tiki.vn/lam-dep-suc-khoe/c1520?src=c.1520.hamburger_menu_fly_out_banner",NULL,"0.2",38725,"2019-07-29 22:49:57.898215"
115,"Thời trang nữ","https://tiki.vn/thoi-trang-nu/c931?src=tree",11,"0.2",70776,"2019-07-29 22:50:07.445678"
116,"Thời trang nam","https://tiki.vn/thoi-trang-nam/c915?src=tree",11,"0.2",49476,"2019-07-29 22:50:07.466941"
117,"Vali - Balo - Túi xách","https://tiki.vn/vali-balo-tui-xach/c6000?src=tree",11,"0.2",36588,"2019-07-29 22:50:07.530095"
118,"Phụ kiện thời trang","https://tiki.vn/phu-kien-thoi-trang/c27498?src=tree",11,"0.2",56764,"2019-07-29 22:50:07.551427"
119,"Các môn thể thao chơi vợt","https://tiki.vn/cac-mon-the-thao-choi-vot/c8411?src=tree",12,"0.7",350,"2019-07-29 22:50:08.115547"
120,"Các môn thể thao đồng đội","https://tiki.vn/the-thao-dong-doi/c4227?src=tree",12,"0.7",728,"2019-07-29 22:50:08.137208"
121,"Các môn thể thao đối kháng","https://tiki.vn/cac-mon-the-thao-doi-khang/c23120?src=tree",12,"0.7",340,"2019-07-29 22:50:08.158045"
122,"Các môn thể thao khác","https://tiki.vn/cac-mon-the-thao-khac/c24002?src=tree",12,"0.7",1950,"2019-07-29 22:50:08.177314"
123,"Giày & trang phục thể thao","https://tiki.vn/giay-trang-phuc-the-thao/c2983?src=tree",12,"0.7",829,"2019-07-29 22:50:08.240154"
124,"Dụng cụ - thiết bị tập thể thao","https://tiki.vn/dung-cu-thiet-bi-tap-the-thao/c24128?src=tree",12,"0.7",1219,"2019-07-29 22:50:08.260551"
125,"Giày thể thao nam","https://tiki.vn/giay-the-thao-nam/c6826?src=tree",12,"0.7",1736,"2019-07-29 22:50:08.279876"
126,"Trang phục thể thao nam","https://tiki.vn/trang-phuc-the-thao-nam/c6140?src=tree",12,"0.7",2156,"2019-07-29 22:50:08.300044"
127,"Giày thể thao nữ","https://tiki.vn/giay-the-thao-nu/c6827?src=tree",12,"0.7",385,"2019-07-29 22:50:08.319545"
128,"Trang phục thể thao nữ","https://tiki.vn/trang-phuc-the-thao-nu/c6141?src=tree",12,"0.7",1398,"2019-07-29 22:50:08.340103"
